job_title;seniority_level;status;company;location;post_date;headquarter;industry;ownership;company_size;revenue;skills;Revenue_numeric;Revenue Status;AVG_Salary
data scientist;senior;hybrid;company_052;Greater S?o Paulo Area . Hybrid;22 days ago;San Francisco, CA, US;Technology;Public;26,910;Ä53.05B;sql, r, python;53.05;Reported;50222
data scientist;midlevel;on-site;company_230;Mettawa, IL;6 days ago;North Chicago, IL, US;Healthcare;Public;49,360;Ä245.39B;Not Defined;245.39;Reported;137003
data scientist;senior;on-site;company_231;South San Francisco, CA . On-site;25 days ago;Kenilworth, NJ, US;Healthcare;Public;78,750;Ä231.03B;machine learning, r, python;231.03;Reported;124219
data scientist;senior;remote;company_233;United States;5 days ago;Reston, VA, US;Technology;Public;27,450;Public;machine learning, r, python;;Not Reprted (Puplic) ;134185.5
data scientist;lead;on-site;company_235;San Antonio, TX;15 days ago;San Antonio, TX, US;Finance;Private;33,030;Private;spark, r, python, sql, machine learning, hadoop, deep learning;;Not Reported (Private) ;137008
data scientist;senior;remote;company_236;United States . Fully Remote;a day ago;Miami, FL, US;Technology;Private;30;Private;sql, machine learning, tableau, python;;Not Reported (Private) ;146135
data scientist;senior;Not specified;company_041;Mississauga, Ontario, Canada;5 days ago;BS, CH;Healthcare;Public;93,560;Ä247.18B;gcp, git, r;247.18;Reported;74130
data scientist;senior;hybrid;company_241;Manchester, England, United Kingdom . Hybrid;2 months ago;London, GB;Technology;Private;180;Private;pytorch, aws, scikit-learn, scipy, machine learning, gcp, azure, tensorflow;;Not Reported (Private) ;100472.5
data scientist;Not Specified;on-site;company_243;Bowie, MD . On-site;8 days ago;Bowie, MD, US;Technology;Public;2,820;Public;Not Defined;;Not Reprted (Puplic) ;105715.5
data scientist;senior;on-site;company_244;Plano, TX . On-site;15 days ago;New York, NY, US;Finance;Public;290,800;Ä350.17B;pytorch, machine learning, tensorflow, python;350.17;Reported;141571.5
data scientist;midlevel;Not specified;company_246;Arlington, VA;8 days ago;New York, NY, US;Finance;Private;23,320;Private;spark, python, docker, java, sql, machine learning, kubernetes, hadoop, deep learning;;Not Reported (Private) ;173540
data scientist;lead;Not specified;company_250;New York, NY;4 days ago;Paris, FR;Healthcare;Private;76,020;Private;powerbi, r, python, scikit-learn, sql, machine learning, tensorflow, tableau;;Not Reported (Private) ;205224
data scientist;lead;hybrid;company_252;San Francisco, CA . Hybrid;5 days ago;San Francisco, CA, US;Healthcare;Private;500;Ä1.72B;Not Defined;1.72;Reported;258704
data scientist;senior;Not specified;company_254;Chicago, IL;9 days ago;South Bend, IN, US;Healthcare;Public;2,520;Public;powerbi, r, python, sql, database, hadoop, tableau;;Not Reprted (Puplic) ;75351.5
data scientist;Not Specified;on-site;company_255;Charlotte, NC . On-site;8 days ago;Fort Mill, SC, US;Technology;Private;3,760;Ä913.33M;Not Defined;913.33;Reported;130155
data scientist;senior;on-site;company_256;San Francisco, CA . On-site;4 days ago;San Francisco, CA, US;Technology;Private;150;Ä4.10B;sql, machine learning, r, python;4.1;Reported;155274
